last_name, first_name,player_id,year,p_total_pa,p_strikeout,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,
Wilson, Justin,458677,2020,86,23,94.9,2281,6.3,-11.5,81.1,2643,-6.1,-49.6,
Lynn, Lance,458681,2020,344,89,94,2492,-6.7,-15.4,83.9,2618,4.4,-42.7,
Tomlin, Josh,458708,2020,163,36,88.3,2294,-8.8,-17.7,76.4,2720,4.3,-52.5,
McGee, Jake,459429,2020,79,33,94.9,2273,11.2,-15.1,82.5,2025,-3.3,-39.6,
Clippard, Tyler,461325,2020,98,26,89.5,2364,-6.6,-14.6,75.1,2322,6.1,-59.4,
Gonzalez, Gio,461829,2020,153,34,90,2206,7.6,-18,77.2,2688,-11.3,-59.5,
Soria, Joakim,465657,2020,96,24,92.4,2281,-5.9,-14.8,76.1,2732,14.3,-56.7,
Nova, Ivan,467100,2020,88,9,92.3,2277,-10.9,-21.3,79.6,2213,4.5,-48.4,
Carrasco, Carlos,471911,2020,280,82,93.8,2470,-8.8,-15.8,85.5,2828,5,-38.1,
Anderson, Brett,474463,2020,202,32,90.2,2139,8.8,-17.8,79.2,2469,-4.6,-52.9,
Phelps, David,475479,2020,85,31,94.2,2397,-8.5,-14.4,81.6,2602,7.1,-51.4,
Betances, Dellin,476454,2020,59,11,93.6,2194,-3.4,-19.6,83.3,2510,10.4,-41,
Stock, Robert,476594,2020,62,14,96.8,2218,-11.1,-15.1,84.6,2734,7.9,-41.6,
Kershaw, Clayton,477132,2020,221,62,91.6,2484,-0.5,-13.2,83.5,2633,-4.5,-39.7,
Hunter, Tommy,488984,2020,102,25,92.7,2472,-6,-16.6,82.3,2873,13.1,-46.2,
Miley, Wade,489119,2020,67,12,90.2,2316,1.6,-18.3,75.8,2482,-8.4,-59,
Romo, Sergio,489265,2020,87,23,85.8,2354,-14.3,-25.1,76,2913,15.7,-40.3,
Stammen, Craig,489334,2020,105,20,91.4,1989,-9.8,-25.7,85.4,2293,3.5,-37.7,
Valdez, Cesar,491624,2020,53,12,85.2,2316,-14.9,-26.8,77.6,2433,9.9,-47.3,
Ottavino, Adam,493603,2020,85,25,92.8,2433,-7.4,-18.5,81,2862,17.9,-40.2,
Pineda, Michael,501381,2020,111,25,92.1,1942,-7.2,-17.5,82.4,2019,0.5,-39.9,
Harris, Will,501789,2020,84,21,91.3,2424,-1.2,-21.2,80.8,2564,11,-56.5,
Minor, Mike,501985,2020,239,62,90.6,2587,1.2,-19.1,84.3,2737,-6.4,-39.9,
Jeffress, Jeremy,502026,2020,88,17,93.3,2165,-7.8,-16.8,80.5,2399,8.3,-47.1,
Gibson, Kyle,502043,2020,301,58,92.4,2266,-5.7,-15.8,81.9,2462,5.6,-43.4,
Britton, Zack,502154,2020,76,16,,,,,81.1,2555,-9.8,-47.7,
Cobb, Alex,502171,2020,226,38,92.9,2098,-6.8,-15.3,81.7,2579,4,-53.3,
Samardzija, Jeff,502188,2020,77,6,90.3,2557,-11.9,-17.9,83.8,2586,-2.1,-31.2,
Boxberger, Brad,502202,2020,79,18,92.5,2483,-5.7,-14.1,88,2432,4.8,-26.6,
Cahill, Trevor,502239,2020,106,31,90.8,2197,-8.4,-20.9,78.5,2982,11,-56.2,
Anderson, Chase,502624,2020,154,38,92.4,2186,-6.3,-14.4,77.2,2102,6.3,-61.2,
Holland, Derek,502706,2020,179,45,92.1,2380,11.9,-16.7,80.7,2227,-0.4,-39.9,
O'Day, Darren,503285,2020,67,22,86,2315,-11.2,-27.2,78.3,2267,7.9,-43.1,
Dolis, Rafael,503569,2020,100,31,94.3,2315,-5.3,-13,84,2472,6.7,-40.9,
Darvish, Yu,506433,2020,297,93,95.9,2582,-6.2,-11.4,80.2,2764,12.7,-49.6,
Colome, Alex,517008,2020,90,16,94.4,2117,-2.5,-13.5,,,,,
Alexander, Scott,518397,2020,52,9,92.8,2175,9.1,-27.1,87.9,2232,-0.3,-30.5,
Brasier, Ryan,518489,2020,110,30,96.2,2253,-7.4,-13.1,86.2,2426,6.4,-35.3,
Bumgarner, Madison,518516,2020,190,30,88.4,2395,6.2,-17.9,76.9,2493,-11.1,-48.5,
Cishek, Steve,518553,2020,93,21,89.2,2354,-6.4,-23.8,78.2,2342,12.9,-47.5,
Diekman, Jake,518617,2020,84,31,95.1,2254,13.2,-17.2,82.5,2763,-14,-39.7,
Duffy, Danny,518633,2020,242,57,92.2,2173,6,-13.9,79.4,2351,-6.2,-50.1,
Harvey, Matt,518774,2020,65,10,94,2139,-12.4,-18.4,84.9,2312,3.3,-39.3,
Holland, Greg,518813,2020,112,31,92.9,2313,-0.5,-14.7,84.5,2214,4.8,-38.7,
Jones, Nate,518858,2020,86,23,95.5,2453,-3.7,-13.5,88,2339,1,-30.5,
Kelly, Merrill,518876,2020,125,29,92.1,2436,-6.1,-16.2,81.2,2614,9.3,-52.7,
Kimbrel, Craig,518886,2020,69,28,96.9,2266,-10.7,-15,86,2542,11,-43.7,
McFarland, T.J.,519008,2020,92,9,,,,,78.3,2234,-7.4,-47.3,
Pomeranz, Drew,519141,2020,73,29,94.6,2474,4.1,-12,84.1,2114,-4,-51,
Porcello, Rick,519144,2020,261,54,91.6,2299,-7.8,-16.3,84.6,2393,3.8,-32.7,
Pressly, Ryan,519151,2020,91,29,94.6,2533,-0.2,-14.6,86.3,2924,8,-40.8,
Smith, Will,519293,2020,62,18,92.6,2260,6.5,-15.7,81,2302,-7.7,-40.6,
Walden, Marcus,519393,2020,71,10,92.4,2056,-1.6,-22,84.7,2199,7.9,-38.1,
Workman, Brandon,519443,2020,101,23,92.5,2114,-3.4,-14.5,79.2,2583,7.3,-59.5,
Baez, Pedro,520980,2020,70,13,94.4,2226,-5.8,-12.9,87.1,1683,1.7,-30.5,
Hendriks, Liam,521230,2020,92,37,96,2445,-8.1,-10.1,86.1,2200,1.9,-37.7,
Font, Wilmer,521655,2020,85,15,95,2274,-6.4,-13.3,82.6,2322,6.4,-41.4,
Perez, Martin,527048,2020,262,46,92.2,2049,10.7,-17.2,77.7,2521,-5.5,-50.4,
Teheran, Julio,527054,2020,149,20,89.2,2330,-7.9,-20.9,78,2618,6.6,-44.4,
Castellanos, Humberto,528748,2020,51,12,90.2,2065,-8.2,-21,80.6,2148,4.7,-41,
Shoemaker, Matt,533167,2020,115,26,92.1,2240,-8.3,-15.5,80.2,2042,6.5,-41.9,
Hahn, Jesse,534910,2020,65,19,95.8,2150,-13.7,-19.5,79.2,3125,15.3,-57.4,
Ramirez, Erasmo,541640,2020,53,9,90.9,2171,-9.3,-18.2,79.7,2414,5.6,-45,
Cisnero, Jose,542585,2020,123,34,96.3,2412,-10.1,-14.8,86.7,2508,4.3,-35.7,
Anderson, Tyler,542881,2020,260,41,90.3,2304,7.8,-14.6,71.9,2334,-2.9,-65.6,
Andriese, Matt,542882,2020,126,33,91.9,2320,-8.1,-15.7,80,2710,5.3,-55.9,
